Tank_1,BATCHID,Material,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2302,107593359,1428047,29,1.0,1433,2432.9,253.86360000000002,10.0,79.016
2302,107609177,1520984,13,1.0,752,909.0,69.9231,12.0,79.016
2302,107622258,1698522,14,0.0,3861,1878.4,134.1714,24.0,79.016
2302,107641913,1567195,172,142.0,2614,2325.9,74.9482,10.0,79.016
2302,107650387,1775253,131,111.0,4789,1631.8000000000002,25.449199999999998,10.0,79.016
2302,107659927,1520984,19,7.0,3219,909.1,47.8474,12.0,79.016
2302,107671476,1567195,62,32.0,4024,2448.0,144.3692,10.0,79.016
2302,107689604,1451710,103,84.0,2425,1527.0,92.9858,10.0,79.016
2302,107706035,1428047,8,0.0,2899,789.2,98.65,10.0,79.016
2302,107734577,1775253,62,44.0,886,1632.0,117.1111,10.0,79.016
2302,107743576,1648637,15,0.0,4142,1304.7,86.98,17.0,79.016
2302,107749891,1775253,15,0.0,3853,1631.2,108.7467,21.0,79.016
2302,107790571,1775253,9,0.0,2196,1632.2,181.3556,21.0,79.016
2302,107811558,1648637,30,13.0,1406,1303.6999999999998,121.418,10.0,65.4124
2302,107818428,1520984,11,0.0,1959,909.0,82.6364,12.0,79.016
2302,107827265,1428047,25,0.0,1622,2433.7,298.4311,10.0,79.016
2302,107884494,1775253,38,18.0,3108,1631.1,110.685,10.0,79.016
2302,107892292,1428047,11,0.0,1237,2433.381,221.2165,31.0,79.016
2302,107899894,1397022,66,48.0,5239,2052.498,182.8375,13.5,72.2142
2302,107906446,1520984,20,8.0,2388,910.251,45.5125,12.0,79.016
2302,107926370,1775253,39,20.0,3250,1631.4,117.8233,10.0,79.016
2302,107934686,1451710,16,0.0,5398,1526.5,95.4063,19.0,79.016
2302,108067815,1775253,14,0.0,3443,1630.4,116.4571,21.0,79.016
2302,108084745,1775253,17,0.0,3679,1631.4,198.1114,10.0,79.016
2304,107548331,1567195,18,0.0,2590,1346.2,151.4475,10.0,65.4124
2304,107618350,1775253,12,0.0,3686,1631.5,135.9583,21.0,79.016
2304,107641910,1428047,101,71.0,2987,2433.4,110.44630000000001,10.0,79.016
2304,107671477,1428047,41,11.0,3567,2436.6,191.7212,10.0,79.016
2304,107689606,1451710,26,6.0,1738,1528.9,120.4649,10.0,79.016
2304,107734590,1775253,48,28.0,3568,1631.2,79.0885,10.0,79.016
2304,107749892,1775253,29,10.0,4256,1631.0,131.3861,10.0,79.016
2304,107771594,1428047,40,10.0,3244,2433.6000000000004,197.5602,10.0,79.016
2304,107781794,1775253,12,0.0,3570,1631.2,135.9333,21.0,79.016
2304,107795782,1775253,65,44.0,2072,1631.6,25.1015,21.0,79.016
2304,107799243,1451710,13,0.0,1434,1526.2,117.4,19.0,79.016
2304,107799473,1428047,229,199.0,3411,2436.3,151.57779999999997,10.0,79.016
2304,107801959,1451710,76,56.0,2955,1527.2,81.2112,10.0,79.016
2304,107833744,1775253,17,0.0,1590,1631.2,95.9529,21.0,79.016
2304,107845579,1775253,219,199.0,2957,1633.1999999999998,78.17949999999999,10.0,79.016
2304,107848869,1775253,5,0.0,2567,1632.1,326.42,21.0,79.016
2304,107856517,1451710,40,20.0,5388,1526.6999999999998,95.68690000000001,10.0,79.016
2304,107887070,1775253,121,101.0,3265,1629.3000000000002,36.1285,10.0,79.016
2304,107915805,1775253,35,15.0,3771,1631.4,93.91290000000001,10.0,79.016
2304,107926371,1775253,12,0.0,3389,1631.4,135.95,21.0,79.016
2304,107934685,1451710,52,33.0,5178,1526.5,29.3558,19.0,79.016
2304,107963678,1698522,66,42.0,5213,1878.222,69.408,12.0,79.016
2304,108015840,1698522,77,53.0,4502,1877.4,24.3818,24.0,79.016
2304,108084746,1775253,37,17.0,4233,1632.1,88.2868,10.0,79.016
2305,107591051,1520984,18,6.0,547,910.264,50.5702,12.0,79.016
2305,107618351,1775253,373,352.0,3322,1631.4,4.3737,21.0,79.016
2305,107650388,1775253,245,225.0,4430,1631.2,14.950000000000001,10.0,79.016
2305,107659907,1775253,38,18.0,3195,1631.4,86.8253,10.0,79.016
2305,107689631,1520984,22,10.0,949,910.0,41.3636,12.0,79.016
2305,107706036,1428047,15,0.0,3004,2368.2,315.77,15.0,79.016
2305,107734581,1567195,52,21.0,4774,2446.2,47.0423,31.0,79.016
2305,107741228,1698522,61,37.0,4067,1878.3,87.0214,12.0,79.016
2305,107771598,1775253,11,0.0,2161,1631.2,148.2909,21.0,79.016
2305,107781795,1775253,50,30.0,3801,1634.7,89.65880000000001,10.0,79.016
2305,107790572,1775253,61,46.0,2148,1630.6999999999998,177.6207,10.0,79.016
2305,107799242,1451710,73,53.0,1514,1525.2,54.2762,10.0,79.016
2305,107802618,1567195,17,0.0,28,1260.3600000000001,148.79000000000002,10.0,65.4124
2305,107818427,1520984,22,10.0,1694,909.0,41.3182,12.0,79.016
2305,107845580,1775253,24,4.0,2848,1631.9,136.9433,10.0,79.016
2305,107848870,1775253,96,84.0,2514,1633.0,416.9851,10.0,79.016
2305,107856518,1451710,28,10.0,5436,1526.4,133.5525,10.0,79.016
2305,107899895,1397022,179,150.0,5344,2052.498,98.3854,10.0,65.4124
2305,107915804,1775253,12,0.0,3918,1631.4,135.95,21.0,79.016
2305,107934335,1451710,25,5.0,4984,1526.498,123.9041,10.0,79.016
2305,108067816,1775253,64,44.0,3935,1630.9,71.02600000000001,10.0,79.016
2305,108084747,1775253,35,15.0,4425,1630.1,93.2281,10.0,79.016
