Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2601,107579279,85,76.0,0,130.1,1.5306,9,14.875
2601,107609604,8,1.0,0,104.1,13.0125,7,14.875
2601,107628743,12,0.0,0,227.4,18.95,13,17.0
2601,107657881,6,0.0,0,129.5,21.5833,9,14.875
2601,107671161,137,123.0,0,240.0,1.7518,14,17.0
2601,107691051,12,3.0,0,130.2,10.85,9,14.875
2601,107718990,11,0.0,0,164.8,14.9818,11,14.875
2601,107720157,12,3.0,0,129.4,10.7833,9,14.875
2601,107731815,11,0.0,0,239.8,21.8,14,17.0
2601,107734265,6,0.0,0,129.2,21.5333,9,14.875
2601,107743160,41,17.0,0,252.81,11.877099999999999,12,10.5966
2601,107748062,102,92.0,0,144.0,1.4118,10,14.875
2601,107769534,20,6.0,0,239.4,11.97,14,17.0
2601,107784321,17,6.0,0,162.1,9.5353,11,14.875
2601,107792342,18,5.0,0,188.7,10.4833,13,14.875
2601,107795797,13,4.0,0,130.0,10.0,9,14.875
2601,107796944,108,84.0,0,252.7,5.0823,12,10.5966
2601,107807261,178,165.0,0,227.1,1.2758,13,17.0
2601,107817306,176,163.0,0,84.7,0.4813,13,6.3182
2601,107831957,18,9.0,0,129.3,7.1833,9,14.875
2601,107873947,184,162.0,0,252.8,8.371,12,10.5966
2601,107880059,58,48.0,0,144.2,2.4862,10,14.875
2601,107899139,157,145.0,0,178.762,1.1386,12,14.875
2601,107913400,108,94.0,0,240.0,2.2222,14,17.0
2601,107924004,27,18.0,0,129.579,4.7992,9,14.875
2601,107936750,24,5.0,0,253.6,21.0857,12,10.5966
2601,107970928,113,89.0,0,252.60000000000002,7.4315,12,10.5966
2601,107988686,80,68.0,0,185.034,2.3129,12,14.875
2601,108002422,20,6.0,0,240.5,12.025,14,17.0
2601,108037928,47,35.0,0,183.903,3.9128,12,14.875
2601,108046604,36,12.0,0,252.8,13.397400000000001,12,10.5966
2601,108060668,109,95.0,0,240.2,2.2037,14,17.0
2601,108080114,120,106.0,0,240.5,2.0042,14,17.0
2603,107700556,29,16.0,0,227.7,7.8517,13,17.0
2603,107983966,24,15.0,0,129.579,5.3991,9,14.875
2604,107559262,132,108.0,0,253.1,5.3954,12,10.5966
2604,107588989,12,0.0,0,98.1,8.175,16,6.3182
2604,107599314,29,19.0,0,143.9,4.9621,10,14.875
2604,107599992,25,16.0,0,129.8,5.192,9,14.875
2604,107759327,19,10.0,0,130.0,6.8421,9,14.875
2604,107776897,102,89.0,0,84.7,0.8304,13,6.3182
2604,107956532,9,0.0,0,130.1,14.4556,9,14.875
2604,108037929,365,353.0,0,183.994,0.5041,12,14.875
2604,108081814,10,1.0,0,130.0,13.0,9,14.875
